aX,aY,aZ,gX,gY,gZ
-0.275,0.884,0.296,9.460,167.419,-114.380
-0.273,0.837,0.192,10.010,163.757,-124.634
-0.266,0.791,0.106,8.423,159.241,-133.972
-0.267,0.756,0.037,6.775,152.771,-142.395
-0.272,0.730,-0.019,5.371,144.104,-149.292
-0.260,0.691,-0.094,4.578,133.789,-154.541
-0.250,0.645,-0.170,5.005,122.986,-158.386
-0.217,0.618,-0.212,2.197,111.755,-161.255
-0.175,0.569,-0.253,-2.075,98.633,-163.940
-0.156,0.503,-0.316,-3.723,84.656,-169.250
-0.151,0.434,-0.372,-5.432,71.594,-176.025
-0.142,0.370,-0.398,-10.010,57.861,-182.678
-0.126,0.323,-0.417,-17.456,42.480,-188.232
-0.130,0.287,-0.414,-25.635,27.527,-191.589
-0.125,0.233,-0.406,-31.555,12.939,-192.993
-0.129,0.171,-0.385,-35.400,-0.671,-193.665
